i0,i1,o0
6800,3993,10793
8077,2565,10642
4768,1222,5990
5107,8124,13231
8384,6211,14595
1698,9084,10782
3649,9589,13238
5624,2290,7914
7433,5126,12559
584,8257,8841
436,8657,9093
8455,3475,11930
6209,3289,9498
5210,8668,13878
4401,3062,7463
3357,5010,8367
2263,3662,5925
6918,7209,14127
7112,1791,8903
7260,2831,10091
2799,7813,10612
2367,1418,3785
5709,4991,10700
9678,5125,14803
481,4069,4550
8736,9389,18125
7166,1958,9124
6111,53,6164
8189,5763,13952
2272,4931,7203
1877,6595,8472
2935,428,3363
2209,725,2934
2974,863,3837
2706,4800,7506
9193,8095,17288
313,182,495
9278,9974,19252
960,6820,7780
8811,1810,10621
6625,3241,9866
5011,4612,9623
4848,7995,12843
6174,5421,11595
439,335,774
932,2498,3430
2095,9176,11271
419,7632,8051
4114,115,4229
6440,8397,14837
3095,7455,10550
7089,3598,10687
7373,4672,12045
9970,9250,19220
153,9020,9173
9019,8445,17464
5387,6568,11955
7585,6595,14180
6305,7005,13310
3505,1695,5200
4983,823,5806
2481,5772,8253
8470,4419,12889
8464,2969,11433
5067,4899,9966
1577,8515,10092
2820,6580,9400
3839,3914,7753
9280,7913,17193
7420,4246,11666
62,5146,5208
2496,1995,4491
3979,2952,6931
5951,3145,9096
2151,3030,5181
6181,674,6855
7724,4356,12080
4023,5411,9434
8685,1549,10234
1714,9955,11669
746,2461,3207
7911,7336,15247
3599,7128,10727
9068,8507,17575
9355,6824,16179
1296,1904,3200
6017,6542,12559
4512,5263,9775
4625,8810,13435
7083,3237,10320
2159,7157,9316
9771,3812,13583
9848,2900,12748
7906,5760,13666
5730,4003,9733
2268,5303,7571
5652,6951,12603
2913,4164,7077
5636,2148,7784
1586,1105,2691
6487,4688,11175
2607,3318,5925
4202,6124,10326
1053,5206,6259
9095,4611,13706
4886,9355,14241
5687,2740,8427
4449,3210,7659
5488,5518,11006
1484,3274,4758
3786,2038,5824
364,7803,8167
6697,4592,11289
8383,743,9126
1968,2457,4425
4530,9885,14415
6656,1949,8605
7815,4332,12147
5175,5949,11124
7244,980,8224
5059,6382,11441
451,9285,9736
7273,4112,11385
6664,5969,12633
6153,7795,13948
8502,2879,11381
8843,2856,11699
3562,7655,11217
2149,7940,10089
4575,3721,8296
3616,2195,5811
4485,865,5350
1381,6685,8066
6781,7962,14743
1621,9652,11273
3345,5510,8855
2950,8659,11609
5678,8109,13787
5070,7176,12246
5909,9588,15497
2873,6394,9267
5414,4928,10342
7242,7745,14987
8545,5951,14496
3714,8215,11929
7990,1619,9609
2717,2328,5045
8764,1048,9812
9207,4686,13893
6858,4465,11323
9650,1804,11454
7819,5029,12848
3409,1665,5074
3346,6453,9799
2655,5961,8616
6371,1458,7829
7393,1674,9067
407,8847,9254
6896,4387,11283
2744,4758,7502
5567,4072,9639
391,6055,6446
8007,1918,9925
794,2657,3451
7322,3212,10534
791,6645,7436
4497,7884,12381
2638,7266,9904
8875,7133,16008
4723,8792,13515
1107,8988,10095
7433,5346,12779
2119,4554,6673
929,7249,8178
2557,1483,4040
8729,1341,10070
5059,6904,11963
5631,6315,11946
975,8685,9660
9726,1437,11163
6771,7139,13910
5631,6416,12047
8075,7436,15511
4556,3395,7951
6874,7003,13877
5366,7520,12886
1365,5539,6904
652,8869,9521
9645,1449,11094
2590,5743,8333
4346,6395,10741
8332,9940,18272
4462,1981,6443
1200,7034,8234
8446,6989,15435
8515,4127,12642
4759,6182,10941
9492,2736,12228
9951,1044,10995
4750,3591,8341
6322,7067,13389
1581,7704,9285
3089,3926,7015
5638,2176,7814
5062,5280,10342
9428,8119,17547
8326,1537,9863
2241,7935,10176
6016,6112,12128
6497,3318,9815
5710,4742,10452
1231,3168,4399
6754,7674,14428
7684,3443,11127
3514,8615,12129
1814,983,2797
8734,1036,9770
8086,9625,17711
3425,3939,7364
7918,8789,16707
8306,3898,12204
7372,6950,14322
2406,1794,4200
235,3366,3601
1425,6129,7554
8772,4818,13590
4814,3914,8728
8152,2989,11141
3643,3036,6679
1375,8649,10024
3884,4005,7889
254,7149,7403
8634,945,9579
1532,3939,5471
2994,3991,6985
2337,9020,11357
9967,9405,19372
3538,432,3970
9087,2473,11560
6172,7127,13299
1797,2485,4282
9596,8284,17880
2536,6423,8959
2273,8724,10997
1443,4123,5566
1467,918,2385
5672,1993,7665
6298,359,6657
7947,6271,14218
3320,5670,8990
183,326,509
9892,3523,13415
795,6483,7278
4342,3844,8186
753,149,902
8548,9654,18202
5910,7844,13754
134,7244,7378
418,7027,7445
4070,9598,13668
8176,3910,12086
4524,4867,9391
7769,5820,13589
9004,5020,14024
1600,8510,10110
8283,8429,16712
9187,7944,17131
6027,9859,15886
3172,6315,9487
3729,9467,13196
9780,4886,14666
6382,5358,11740
1464,3742,5206
9204,6842,16046
9879,1960,11839
9037,2,9039
4704,8302,13006
1151,84,1235
3847,9157,13004
4640,8104,12744
6626,3544,10170
4862,1488,6350
3045,4627,7672
3546,3671,7217
4042,5731,9773
2674,6009,8683
2057,6361,8418
1729,7176,8905
2982,9469,12451
7196,7859,15055
3256,4010,7266
8990,178,9168
1808,3398,5206
2010,8423,10433
8500,7166,15666
879,87,966
7816,7803,15619
5995,4533,10528
5250,8488,13738
9903,1646,11549
5670,6802,12472
9533,4772,14305
9917,1089,11006
8049,7952,16001
7125,450,7575
1241,4019,5260
6255,2373,8628
1116,7763,8879
8630,8473,17103
8528,9781,18309
2358,9010,11368
9155,8810,17965
4211,9659,13870
7837,3114,10951
7595,3335,10930
1197,1211,2408
3365,8178,11543
5711,4361,10072
9058,6057,15115
1592,4727,6319
72,8183,8255
775,5915,6690
7222,4703,11925
1226,3558,4784
6547,485,7032
392,4891,5283
6746,4395,11141
9467,4900,14367
7520,3398,10918
500,792,1292
4291,4987,9278
5878,446,6324
5447,9350,14797
6964,2856,9820
2377,822,3199
8787,8811,17598
3271,7536,10807
5268,4879,10147
1196,7581,8777
8560,3030,11590
2406,2270,4676
5888,120,6008
7843,2263,10106
6282,1607,7889
7306,405,7711
5313,8408,13721
2555,7545,10100
5260,6013,11273
443,5647,6090
1927,5158,7085
8748,5122,13870
7033,6322,13355
3245,5991,9236
4604,1463,6067
968,8432,9400
3329,7739,11068
7563,6736,14299
9733,1181,10914
8653,9579,18232
4231,1208,5439
940,2563,3503
2567,9842,12409
8153,9944,18097
5585,7065,12650
6993,1370,8363
7139,4006,11145
6268,209,6477
4443,3333,7776
3048,4658,7706
3504,5279,8783
4362,1592,5954
4023,2382,6405
7131,27,7158
3823,9526,13349
33,8412,8445
7979,1399,9378
7797,2727,10524
6295,9626,15921
6345,7214,13559
5072,4345,9417
7480,7288,14768
3402,3072,6474
1070,5511,6581
4326,6783,11109
8348,1331,9679
6731,3813,10544
3228,4236,7464
507,7338,7845
4462,9152,13614
6069,4559,10628
8593,9965,18558
9789,3712,13501
3768,2483,6251
490,5288,5778
5536,8851,14387
3541,4598,8139
7867,1357,9224
911,9743,10654
9538,3719,13257
8188,4743,12931
7558,4770,12328
3509,2537,6046
