i0,i1,o0
2559,6975,-4416
860,5231,-4371
7348,6584,764
7884,9958,-2074
9342,8791,551
5437,695,4742
5926,3753,2173
3959,5325,-1366
6342,7941,-1599
8959,8252,707
9598,963,8635
9792,6766,3026
2459,5100,-2641
8024,5148,2876
1678,2992,-1314
560,1706,-1146
5847,3567,2280
5124,3305,1819
1579,4442,-2863
2862,4020,-1158
3412,3392,20
2289,2313,-24
8834,9868,-1034
1022,4739,-3717
8393,2500,5893
4956,4753,203
7810,942,6868
3445,5254,-1809
2613,1680,933
3282,2597,685
9366,7507,1859
9896,2140,7756
4041,4768,-727
107,5915,-5808
8355,994,7361
4060,9233,-5173
2401,7062,-4661
3956,5991,-2035
5022,1160,3862
90,2914,-2824
9528,3419,6109
3915,6018,-2103
4336,6664,-2328
1799,6946,-5147
9947,511,9436
3011,3045,-34
3912,8494,-4582
9424,8173,1251
1542,6554,-5012
2110,6507,-4397
1823,6341,-4518
9744,2478,7266
865,7490,-6625
5275,1865,3410
4809,5426,-617
4445,1247,3198
9253,146,9107
3200,757,2443
1357,6618,-5261
6710,734,5976
4322,5259,-937
2632,5022,-2390
5907,8321,-2414
6241,9774,-3533
7468,814,6654
9618,4516,5102
9801,9458,343
3860,4958,-1098
6933,1585,5348
4321,8104,-3783
6158,8897,-2739
560,3845,-3285
2668,2354,314
8111,4193,3918
2060,1095,965
6671,7361,-690
2323,7910,-5587
901,2433,-1532
256,1558,-1302
6250,1591,4659
6443,1551,4892
9648,74,9574
6429,4499,1930
856,5917,-5061
3828,4461,-633
6748,9644,-2896
2147,1063,1084
6221,1285,4936
6004,3438,2566
8220,3970,4250
671,189,482
4070,2742,1328
3873,1971,1902
8690,8421,269
6733,7168,-435
8961,2364,6597
279,737,-458
6283,9688,-3405
346,5693,-5347
3415,9627,-6212
3324,70,3254
1530,9286,-7756
2452,788,1664
1012,9433,-8421
1484,6962,-5478
304,2231,-1927
7340,5016,2324
7256,3463,3793
3765,9605,-5840
6465,5999,466
2942,1176,1766
40,5424,-5384
9673,6798,2875
7776,5869,1907
7225,9161,-1936
1145,7430,-6285
508,1964,-1456
8958,2996,5962
8182,8986,-804
1079,385,694
1093,3115,-2022
4317,2615,1702
409,6256,-5847
7006,8297,-1291
8442,4124,4318
3432,6781,-3349
6309,8212,-1903
244,6666,-6422
7709,5796,1913
3724,961,2763
755,9282,-8527
7400,2282,5118
7089,1877,5212
8793,845,7948
1578,4855,-3277
5612,5424,188
3707,4831,-1124
1315,7558,-6243
3606,8377,-4771
3076,2062,1014
4459,5993,-1534
8838,6654,2184
3695,3930,-235
2594,3687,-1093
2416,8138,-5722
8560,8463,97
7309,5315,1994
7539,4396,3143
7079,8549,-1470
6824,9863,-3039
5102,1266,3836
3442,1957,1485
7028,1274,5754
5376,2475,2901
2784,5494,-2710
4983,5743,-760
6366,8501,-2135
6239,7092,-853
1267,8794,-7527
4336,7287,-2951
2060,2737,-677
1548,7194,-5646
958,8648,-7690
4039,9026,-4987
5943,2295,3648
5894,1016,4878
7777,3709,4068
5778,9400,-3622
9394,2740,6654
1574,3685,-2111
3888,9809,-5921
8399,3118,5281
6610,187,6423
7907,743,7164
2248,1546,702
6272,5056,1216
7552,8206,-654
667,491,176
8955,6313,2642
5617,2497,3120
9402,5492,3910
1942,7684,-5742
4106,3020,1086
4580,3975,605
2237,8916,-6679
9532,6203,3329
8367,3101,5266
128,5254,-5126
8635,2872,5763
6851,7153,-302
6391,802,5589
4666,6450,-1784
358,8424,-8066
9348,4479,4869
7745,5878,1867
1227,5274,-4047
7719,9943,-2224
1212,9850,-8638
3797,3461,336
445,6288,-5843
