i0,i1,o0
-4846,5826,5826
1323,-9379,1323
2507,1371,2507
-3755,6861,6861
-7111,1923,1923
-1732,-9382,-1732
-4760,-4635,-4635
1244,6120,6120
-733,5578,5578
8441,-1039,8441
6809,8178,8178
-3532,-389,-389
3065,2393,3065
171,5652,5652
4585,-5967,4585
9046,768,9046
-4270,-65,-65
5138,574,5138
62,-9872,62
5606,-7733,5606
-4544,-8826,-4544
4883,-1606,4883
8681,-8587,8681
-4639,-1520,-1520
-2576,2339,2339
2562,-6451,2562
-805,6200,6200
5301,-996,5301
6939,6902,6939
5833,-8664,5833
-7678,1356,1356
6296,-2250,6296
-6652,-6855,-6652
7067,9474,9474
3303,-3743,3303
-6016,-2789,-2789
6304,-4858,6304
9727,6967,9727
8070,5196,8070
-8462,6569,6569
6524,-8290,6524
8765,2437,8765
3842,-4121,3842
-2876,-8736,-2876
9651,-1188,9651
851,1219,1219
-225,3801,3801
-8009,-3947,-3947
-2508,4624,4624
-301,-4556,-301
7236,8425,8425
-8271,3447,3447
-9936,-178,-178
9480,-6194,9480
-6584,6039,6039
-6467,-8204,-6467
-7658,3197,3197
-4100,5672,5672
-5041,-6572,-5041
3456,-3221,3456
-9058,-2814,-2814
-1889,7366,7366
-8181,8695,8695
-6861,2414,2414
-470,7812,7812
-9276,1699,1699
6049,1478,6049
-4825,-6606,-4825
6268,5010,6268
4593,3595,4593
4785,-4576,4785
5780,-15,5780
-3851,4996,4996
5594,-4422,5594
9793,-4858,9793
-4459,-9227,-4459
2646,-6554,2646
9750,-3553,9750
-2369,1948,1948
-2547,-5955,-2547
2543,-8722,2543
-3857,-6827,-3857
6772,5655,6772
8697,2800,8697
-2297,-1759,-1759
-5729,-5256,-5256
1599,44,1599
7263,5181,7263
-4992,-69,-69
35,6586,6586
8083,1433,8083
6044,6770,6770
1393,-1295,1393
6675,-8192,6675
822,-2486,822
-6449,-2306,-2306
-5780,-9704,-5780
-843,3332,3332
-7167,-3850,-3850
483,-3350,483
-3555,-8850,-3555
-3295,-5777,-3295
-4962,-7754,-4962
