i0,i1,i2,o0,o1,o2
107,-88,158,107,0,158
-80,-45,-62,0,0,0
-64,-151,-179,0,0,0
-2,56,-71,0,56,0
-8,74,-109,0,74,0
-50,77,-73,0,77,0
33,-18,173,33,0,173
-178,147,-153,0,147,0
-9,62,62,0,62,62
-179,-71,-183,0,0,0
53,129,-111,53,129,0
-43,-35,-162,0,0,0
2,-131,-115,2,0,0
133,-198,-136,133,0,0
55,59,21,55,59,21
-104,69,13,0,69,13
-20,-42,-45,0,0,0
197,28,-153,197,28,0
15,-198,-11,15,0,0
171,109,-57,171,109,0
61,101,-175,61,101,0
-145,-40,157,0,0,157
-87,86,-28,0,86,0
-82,186,-109,0,186,0
30,175,156,30,175,156
162,-137,74,162,0,74
-32,186,182,0,186,182
-185,-162,192,0,0,192
137,-164,89,137,0,89
-27,4,-102,0,4,0
-38,-179,-2,0,0,0
-97,177,-130,0,177,0
-18,-144,149,0,0,149
110,-167,152,110,0,152
-77,175,91,0,175,91
-6,-137,-169,0,0,0
94,-63,-69,94,0,0
-178,185,126,0,185,126
-35,67,170,0,67,170
12,79,41,12,79,41
-95,57,-143,0,57,0
-105,47,138,0,47,138
-112,117,-49,0,117,0
104,44,-180,104,44,0
68,107,-162,68,107,0
-189,-58,14,0,0,14
192,-131,-175,192,0,0
116,-56,-98,116,0,0
-57,-180,-94,0,0,0
86,-16,-192,86,0,0
-102,-124,199,0,0,199
72,-3,-193,72,0,0
122,59,73,122,59,73
-158,122,55,0,122,55
150,-116,-75,150,0,0
33,-143,-107,33,0,0
58,-142,-55,58,0,0
-65,119,-130,0,119,0
-192,-165,63,0,0,63
120,-195,-68,120,0,0
-118,-117,-92,0,0,0
-146,131,69,0,131,69
-113,-90,149,0,0,149
64,-47,42,64,0,42
-68,132,79,0,132,79
-176,-190,-16,0,0,0
-144,88,126,0,88,126
130,-178,-32,130,0,0
146,75,83,146,75,83
-121,82,-40,0,82,0
151,-173,181,151,0,181
-60,-197,-153,0,0,0
28,-1,146,28,0,146
-40,-85,65,0,0,65
-47,-96,35,0,0,35
115,134,-7,115,134,0
26,30,-20,26,30,0
-112,14,-14,0,14,0
-122,32,-143,0,32,0
118,74,99,118,74,99
-71,-8,18,0,0,18
78,-171,-186,78,0,0
-192,-24,138,0,0,138
2,108,186,2,108,186
-56,-156,-140,0,0,0
136,-139,-160,136,0,0
-23,-198,-37,0,0,0
89,-119,-59,89,0,0
152,-69,83,152,0,83
-98,39,50,0,39,50
